id,paragraph
34,"""Why, Queen of Wisdom! What if the wind should blow, and all his magic flit away? Ay, ay, ay! stripped from the M'keeso of the dead Lord Shillambansa came this coat into my Messimut's hands, who feeds five hundred peacocks on his grave! And now his wondrous Cap of Hair! Nine Fulbies, as I live, were flayed to skin that cap withal,"" said Nod, ""and seven rogue Ephelantoes gave the Oomgar of their tails."""
35,"""Ah yes, ah yes!"" groaned Immanâla; ""but what are seventy Ephelantoes compared with Immanâla, Queen of All?"""
36,"""Now,"" said Nod, ""I will weary myself no more with speeches. Is it warm?"""
37,"""I am in a furnace; I burn."""
38,"""Is it too loose? Does it wrinkle? Does it sag?"""
39,"""Oh, but I can breathe but a mouthful at a time!"""
40,"""Last and last again, then,"" said Nod, packing into the pockets one or two of the stones and bullets and lumps of ice that had fallen out, ""is it comfortable?"""
41,"""O my friend, my scarce-wise Mulgar-royal, when did you ever hear that grand clothes were comfortable?"""
42,"""Wait but a little moment, then, while I go in to fetch the magic-glass, that will show you your face, Immanâla, handsome and lovesome."""
43,"The Beast struggled faintly in her magic coat. ""Have a care--oh, have a care, Ummanodda! The gun, the gun! The Oomgar might wake. Let me creep swiftly to my stone, and bring the glass to me there."""
44,"""The Oomgar will not wake,"" said Nod; ""he sleeps as deep as the Ghost of the Rose upon the bosom of Tishnar."""
45,"""But, O Mulgar, think again. Strip off from my body this grievous belt,"" she pleaded; ""you will keep nothing for yourself."""
46,"""Have no fear, friend,"" said Nod shakily; ""I will keep""--and his eyes met hers in the shadow of the hat, stony and merciless and ravenous--""I will keep,"" he grunted, ""my Zbaffle."""
47,"He went into the hut and seated himself on a little stool. Then very carefully he took the Wonderstone out of his pocket and unwrapped it. Its pale gleam mingled softly with the moonlight, as a rainbow mingles with foam. Wetting his left thumb with spittle, he rubbed it softly, softly, Samaweeza, three times round. And distant and clear as the shining of a star a voice seemed to cry: ""The Spirit of Tishnar answers, Prince Ummanodda Nizza-neela; what dost thou require of me?"""
48,"""Oh, by Tishnar, only this,"" said Nod, trembling: ""that the nine-and-ninety hunting-dogs in their hunting mistake the ravening Beast of Shadows, Immanâla, for the sailorman, Zbaffle, my master and friend."""
49,"And surely, when Nod looked out from the doorway, it seemed that, strange and terrible, the shape muffled within the Oomgar's coat was swollen out, stretched lean and tall, that even lank gold hair did dangle on her shoulders from beneath the furry cap. It seemed he heard a far-away crying--crying, out of that monstrous bale, as the creature within, standing hidden from the moonlight, began to sway and stir and totter over the snow. And Nod, choking with terror, called one word only--""Sulâni!"" Then, with all his force, he whistled once, twice, thrice, clear and loud and long and shrill; then he shut fast the door and barred it, and went and crouched beside the Oomgar's bed."
50,"Already Battle was wide awake. ""Ahoy!"" said he, and started up and thrust out his hand for his gun."
51,"""Steady--oh, steady, Oomgar Zbaffle!"" said Nod. ""It is dogs of the Immanâla only, that soon will be gone."""
52,"Even as he spoke rose out of the distance a dreadful baying and howling. Battle leapt up out of his bed to the window-hole. But Nod squatted shivering, his face hidden in his hands."
53,"""Ghost of me! What is it?"" said Battle to himself. ""What beast is this they're after--M'keeso, or Man of the Woods?"""
54,"It reeled, it fell, it rose up; it wheeled slowly, faintly weeping and whining, and then stood still, with arms lifted high, struggling like a man with a great burden. But over the crudded snow, like a cloud across the moon, streamed with brindled hair on end, jaws gaping and flaming eyes, the hungry pack of the Shadow's hunting-dogs. ""Oomgar, Oomgar, Oomgar, Oomgar!"" they yelled one to another. ""Immanâla, Immanâla, death, death, death!"" And presently, while Battle in amazement watched, there came one miserable cry of fear and pain. The tottering shape seemed to melt, to vanish."
55,Then Nod scampered and opened the door.
56,"""What say you now, hunting-dogs? Was the Oomgar tender or tough?"""
57,"""Tough, tough!"" they yelled."
58,"""Go, then, and tell your mistress, Queen of Shadows, Immanâla, that you have supped with the Prince of Tishnar, and are satisfied."""
59,"""Why lurks the little Mulgar in the Oomgar's hut?"" yelped a lank hoary Jaccatray."
60,"""I guard her treasures for the Nameless,"" said Nod; but he had hardly said the word when he heard Battle striding to the door."
61,"""It's no good prattling and blabbing, my son,"" he was saying. ""If come it be, it's come. Off, now, while your skin's whole, and let me give the rogues a taste of powder."""
62,"Two or three of the hunting-dogs yelped aloud. ""What, my brothers!"" said Nod. ""Did you hear the Oomgar's Meermut calling for his gun?"""
63,"A few of the meaner dogs scampered off a few paces at this, sniffing and cocking their ears."
64,"""Out of the way, Pongo,"" whispered the Englishman through the doorway, and the next moment there fell a crash that nearly toppled Nod into the snow, and Battle strode out of the hut with his smoking musket. But the cowardly Jack-Alls, at sound of his gun and at sight of the ghost of the Oomgar they had torn to pieces, lifted up their voices in a howl of terror, and in an instant over the snow they swept off at a gallop, and soon were lost in the moonless silence and shadowiness of Munza."
65,"Nod turned towards the hut. Battle stood in his breeches, his gun in his hand, his blue eyes wide open as if in fear."
66,
67,
68, 
